hi_HindStepLength,object
hi_HipSize,object
hi_HoofCode,object
hi_HorseID,object
hi_HorseName,object
hi_HorseNumber,float64
hi_HorseRemarks1,object
hi_HorseRemarks2,object
hi_HorseRemarks3,object
hi_HorseSignCode,object
hi_IDM,object
hi_IDMSign,object
hi_InfoScore,object
hi_InfoSign,object
hi_JockeyCode,object
hi_JockeyName,object
hi_JockeyPlace,object
hi_JockeyQuinella,float64
hi_JockeyScore,object
hi_JockeySign,object
hi_JockeyWin,object
hi_LastPhaseOrder,object
hi_LastRunJockeyCode,object
hi_LastRunReference,object
hi_LastphaseDelta,object
hi_LastphaseInOut,object
hi_LastphaseScore,object
hi_LastphaseScoreOrder,object
hi_LateStartPer,object
hi_LsScoreOrder,object
hi_MiddlephaseDelta,object
hi_MiddlephaseInOut,object
hi_MiddlephaseOrder,object
hi_NeckLength,object
hi_OofDelta,object
hi_OofInOut,object
hi_OofPrediction,object
hi_OwnerCode,object
hi_OwnerName,object
hi_PacePred,object
hi_PaceScore,object
hi_PaceScoreOrder,object
hi_PaddockRank,object
hi_PedigreeID,object
hi_PoistionScore,object
hi_PopScore,float64
hi_PositionScoreOrder,object
hi_Pre1RaceID,object
hi_Pre1ResultID,object
hi_Pre2RaceID,object
hi_Pre2ResultID,object
hi_Pre3RaceID,object
hi_Pre3ResultID,object
hi_Pre4RaceID,object
hi_Pre4ResultID,object
hi_Pre5RaceID,object
hi_Pre5ResultID,object
hi_PreciousTicketScore,object
hi_PreciousTicketSign,object
hi_Prize,float64
hi_RaceID,object
hi_RaceRound,float64
hi_RecuperationType,object
hi_Rotation,float64
hi_RunningScore,float64
hi_RunningScoreOrder,float64
hi_RunningSign,object
hi_RunningStyle,object
hi_RunningStyle2,object
hi_RunningType,object
hi_SexCode,object
hi_ShoulderAngle,object
hi_SpecificInfo1,float64
hi_SpecificInfo2,float64
hi_SpecificInfo3,float64
hi_SpecificInfo4,float64
hi_SpecificInfo5,float64
hi_StableDate,object
hi_StableElapsedDates,object
hi_StableEvalCode,object
hi_StableRaceCount,object
hi_StableRank,object
hi_StableScore,float64
hi_StableSign,object
hi_StartScore,object
hi_TailAngle,object
hi_TailShaking,object
hi_Times,float64
hi_TomoAngle,object
hi_TrainScore,float64
hi_TrainSignCode,object
hi_TrainerCode,object
hi_TrainerDivision,object
hi_TrainerName,object
hi_TrainingSign,object
hi_TransportClass,object
hi_TurfFitness,object
hi_WeightAFD,object
hi_WeightDeltaAFD,object
hi_Year,float64
hr_AtmospherCode,object
hr_BasisWeight,float64
hr_BodyCode,object
hr_ClassCode,object
hr_ClassPrize,float64
hr_ConditionCode,object
hr_CourseCode,object
hr_CourseInfo,object
hr_CoursePosition,float64
hr_Disadvantage,float64
hr_DisadvantageFinal,float64
hr_DisadvantageMiddle,float64
hr_DisadvantageOpening,float64
hr_Discipline,object
hr_Distance,float64
hr_FieldStatus,object
hr_FinishingTime,float64
hr_First3FDelta,float64
hr_First3FTime,float64
hr_FirstphaseScore,float64
hr_HaedCount,float64
hr_HorseID,object
hr_HorseName,object
hr_HorseNumber,float64
hr_HorsePace,object
hr_InOut,object
hr_IrregularCategory,object
hr_JRDBRemarks,object
hr_JockeyID,object
hr_JockeyName,object
hr_JrdbField,float64
hr_JrdbIDM,float64
hr_JrdbPace,float64
hr_JrdbRaw,float64
hr_Last3FDelta,float64
hr_Last3FTime,float64
hr_LastPhaseScore,float64
hr_LateStart,object
hr_LeftRight,object
hr_MorningOdds,float64
hr_MorningPlaceOdds,float64
hr_Odds,float64
hr_OrderOfFinish,float64
hr_PaceScore,float64
hr_Pass1,float64
hr_Pass2,float64
hr_Pass3,float64
hr_Pass4,float64
hr_PaybackPlace,float64
hr_PaybackWin,float64
hr_PedigreeID,object
hr_PlaceOdds,float64
hr_Pops,float64
hr_Position,float64
hr_PositionAtCorner,object
hr_Prize,float64
hr_RaceCategory,object
hr_RaceCondition,object
hr_RaceGrade,object
hr_RaceID,object
hr_RaceInfo,object
hr_RaceName,object
hr_RacePace,object
hr_RacePaceScore,float64
hr_RaceRemarks,object
hr_RaceRunStyle,object
hr_RegisterdDate,object
hr_ResultID,object
hr_TimeDelta,float64
hr_TrainerID,object
hr_TrainerName,object
hr_WeatherCode,object
hr_Weight,float64
hr_WeightDelta,float64
li_BasisWeight,float64
li_CompositeScore,float64
li_CompositeSign,float64
li_EquipmentChange,object
li_FieldCode,object
li_FieldStatus,float64
li_HorseID,object
li_HorseNumber,float64
li_HorseWeight,float64
li_IDM,float64
li_InfoScore,float64
li_JockeyScore,float64
li_LegInfo,object
li_OddsScore,float64
li_OddsSign,float64
li_PaddockScore,float64
li_PaddokSign,float64
li_PlaceOdds,float64
li_RaceID,object
li_WeatherCode,object
li_WeightDelta,float64
li_WinOdds,float64
pre1_AtmospherCode,object
pre1_BasisWeight,float64
pre1_BodyCode,object
pre1_ClassCode,object
pre1_ClassPrize,float64
pre1_ConditionCode,object
pre1_CourseCode,object
pre1_CourseInfo,object
pre1_CoursePosition,float64
pre1_Disadvantage,float64
pre1_DisadvantageFinal,float64
pre1_DisadvantageMiddle,float64
pre1_DisadvantageOpening,float64
pre1_Discipline,object
pre1_Distance,float64
pre1_FieldStatus,object
pre1_FinishingTime,float64
pre1_First3FDelta,float64
pre1_First3FTime,float64
pre1_FirstphaseScore,float64
pre1_HaedCount,float64
pre1_HorseID,object
pre1_HorseName,object
pre1_HorseNumber,float64
pre1_HorsePace,object
pre1_InOut,object
pre1_IrregularCategory,object
pre1_JRDBRemarks,object
pre1_JockeyID,object
pre1_JockeyName,object
pre1_JrdbField,float64
pre1_JrdbIDM,float64
pre1_JrdbPace,float64
pre1_JrdbRaw,float64
pre1_Last3FDelta,float64
pre1_Last3FTime,float64
pre1_LastPhaseScore,float64
pre1_LateStart,object
pre1_LeftRight,object
pre1_MorningOdds,float64
pre1_MorningPlaceOdds,float64
pre1_Odds,float64
pre1_OrderOfFinish,float64
pre1_PaceScore,float64
pre1_Pass1,float64
pre1_Pass2,float64
pre1_Pass3,float64
pre1_Pass4,float64
pre1_PaybackPlace,float64
pre1_PaybackWin,float64
pre1_PedigreeID,object
pre1_PlaceOdds,float64
pre1_Pops,float64
pre1_Position,float64
pre1_PositionAtCorner,object
pre1_Prize,float64
pre1_RaceCategory,object
pre1_RaceCondition,object
pre1_RaceGrade,object
pre1_RaceID,object
pre1_RaceInfo,object
pre1_RaceName,object
pre1_RacePace,object
pre1_RacePaceScore,float64
pre1_RaceRemarks,object
pre1_RaceRunStyle,object
pre1_RegisterdDate,object
pre1_ResultID,object
pre1_TimeDelta,float64
pre1_TrainerID,object
pre1_TrainerName,object
pre1_WeatherCode,object
pre1_Weight,float64
pre1_WeightDelta,float64
pre2_AtmospherCode,object
pre2_BasisWeight,float64
pre2_BodyCode,object
pre2_ClassCode,object
pre2_ClassPrize,float64
pre2_ConditionCode,object
pre2_CourseCode,object
pre2_CourseInfo,object
pre2_CoursePosition,float64
pre2_Disadvantage,float64
pre2_DisadvantageFinal,float64
pre2_DisadvantageMiddle,float64
pre2_DisadvantageOpening,float64
pre2_Discipline,object
pre2_Distance,float64
pre2_FieldStatus,object
pre2_FinishingTime,float64
pre2_First3FDelta,float64
pre2_First3FTime,float64
pre2_FirstphaseScore,float64
pre2_HaedCount,float64
pre2_HorseID,object
pre2_HorseName,object
pre2_HorseNumber,float64
pre2_HorsePace,object
pre2_InOut,object
pre2_IrregularCategory,object
pre2_JRDBRemarks,object
pre2_JockeyID,object
pre2_JockeyName,object
pre2_JrdbField,float64
pre2_JrdbIDM,float64
pre2_JrdbPace,float64
pre2_JrdbRaw,float64
pre2_Last3FDelta,float64
pre2_Last3FTime,float64
pre2_LastPhaseScore,float64
pre2_LateStart,object
pre2_LeftRight,object
pre2_MorningOdds,float64
pre2_MorningPlaceOdds,float64
pre2_Odds,float64
pre2_OrderOfFinish,float64
pre2_PaceScore,float64
pre2_Pass1,float64
pre2_Pass2,float64
pre2_Pass3,float64
pre2_Pass4,float64
pre2_PaybackPlace,float64
pre2_PaybackWin,float64
pre2_PedigreeID,object
pre2_PlaceOdds,float64
pre2_Pops,float64
pre2_Position,float64
pre2_PositionAtCorner,object
pre2_Prize,float64
pre2_RaceCategory,object
pre2_RaceCondition,object
pre2_RaceGrade,object
pre2_RaceID,object
pre2_RaceInfo,object
pre2_RaceName,object
pre2_RacePace,object
pre2_RacePaceScore,float64
pre2_RaceRemarks,object
pre2_RaceRunStyle,object
pre2_RegisterdDate,object
pre2_ResultID,object
pre2_TimeDelta,float64
pre2_TrainerID,object
pre2_TrainerName,object
pre2_WeatherCode,object
pre2_Weight,float64
pre2_WeightDelta,float64
pre3_AtmospherCode,object
pre3_BasisWeight,float64
pre3_BodyCode,object
pre3_ClassCode,object
pre3_ClassPrize,float64
pre3_ConditionCode,object
pre3_CourseCode,object
pre3_CourseInfo,object
pre3_CoursePosition,float64
pre3_Disadvantage,object
pre3_DisadvantageFinal,object
pre3_DisadvantageMiddle,object
pre3_DisadvantageOpening,object
pre3_Discipline,object
pre3_Distance,float64
pre3_FieldStatus,object
pre3_FinishingTime,float64
pre3_First3FDelta,float64
pre3_First3FTime,float64
pre3_FirstphaseScore,float64
pre3_HaedCount,float64
pre3_HorseID,object
pre3_HorseName,object
pre3_HorseNumber,float64
pre3_HorsePace,object
pre3_InOut,object
pre3_IrregularCategory,object
pre3_JRDBRemarks,object
pre3_JockeyID,object
pre3_JockeyName,object
pre3_JrdbField,float64
pre3_JrdbIDM,float64
pre3_JrdbPace,float64
pre3_JrdbRaw,float64
pre3_Last3FDelta,float64
pre3_Last3FTime,float64
pre3_LastPhaseScore,float64
pre3_LateStart,object
pre3_LeftRight,object
pre3_MorningOdds,float64
pre3_MorningPlaceOdds,float64
pre3_Odds,float64
pre3_OrderOfFinish,float64
pre3_PaceScore,float64
pre3_Pass1,float64
pre3_Pass2,float64
pre3_Pass3,float64
pre3_Pass4,float64
pre3_PaybackPlace,object
pre3_PaybackWin,object
pre3_PedigreeID,object
pre3_PlaceOdds,float64
pre3_Pops,float64
pre3_Position,object
pre3_PositionAtCorner,object
pre3_Prize,float64
pre3_RaceCategory,object
pre3_RaceCondition,object
pre3_RaceGrade,object
pre3_RaceID,object
pre3_RaceInfo,object
pre3_RaceName,object
pre3_RacePace,object
pre3_RacePaceScore,float64
pre3_RaceRemarks,object
pre3_RaceRunStyle,object
pre3_RegisterdDate,object
pre3_ResultID,object
pre3_TimeDelta,float64
pre3_TrainerID,object
pre3_TrainerName,object
pre3_WeatherCode,object
pre3_Weight,float64
pre3_WeightDelta,float64
ri_CourseCode,object
ri_Datetime,object
ri_Day,float64
ri_Discipline,object
ri_Distance,float64
ri_FirstPrize,float64
ri_HaedCount,float64
ri_InOut,float64
ri_LeftrRight,float64
ri_Month,float64
ri_RaceGrade,object
ri_RaceID,object
ri_RaceKind,object
ri_RaceRequirements,object
ri_RaceWeights,float64
ri_SecondPrize,float64
ri_ThirdPrize,float64
ri_Time,float64
ri_Year,float64
